"Net Code";"Net Name";"Pad Count";"Via Count";"Via Length (mm)";"Track Length (mm)";"Die Length (mm)";"Net Length (mm)";"F.Cu (mm)";"In1.Cu (mm)";"In2.Cu (mm)";"In3.Cu (mm)";"In4.Cu (mm)";"B.Cu (mm)";
034;"Net-(U3B-VDDA)";2;2;0.2700;16.3174;0.0000;16.5874;0.0000;0.0000;0.0000;0.0000;14.2166;2.1008;
035;"/PD6";2;2;1.4940;26.5382;0.0000;28.0322;1.2868;0.0000;24.2765;0.0000;0.0000;0.9749;
036;"/PH3";2;2;1.4940;25.5225;0.0000;27.0165;1.1587;0.0000;0.0000;19.0784;0.0000;5.2854;
037;"/PD3";2;2;1.4940;33.6031;0.0000;35.0971;1.1420;0.0000;31.7575;0.0000;0.0000;0.7036;
038;"/PG14";2;2;1.4940;28.5256;0.0000;30.0196;3.5473;0.0000;24.5184;0.0000;0.0000;0.4599;
039;"/PH15";2;2;1.4940;32.3899;0.0000;33.8839;1.2991;0.0000;30.6309;0.0000;0.0000;0.4599;
040;"GND";131;62;32.8680;364.6308;0.0000;397.4988;242.3393;0.0000;0.0000;0.0000;0.0000;122.2915;
042;"+3.3V";40;38;22.4100;84.5969;0.0000;107.0069;21.2383;0.0000;0.0000;0.0000;0.0000;63.3586;
052;"/PE0";2;3;1.4940;43.7194;0.0000;45.2134;1.1981;0.0000;26.9874;14.4386;0.0000;1.0953;
053;"/PH9";2;2;1.4940;25.5631;0.0000;27.0571;1.5524;0.0000;22.7996;0.0000;0.0000;1.2110;
054;"/PG12";3;4;3.2580;34.1150;0.0000;37.3730;5.2787;0.0000;0.0000;0.0000;20.9808;7.8555;
055;"/PE1";2;3;1.4940;37.5718;0.0000;39.0658;2.0270;16.1066;18.9784;0.0000;0.0000;0.4598;
056;"/PB9";2;2;1.4940;30.6233;0.0000;32.1173;1.1471;0.0000;28.0536;0.0000;0.0000;1.4225;
057;"/PH11";2;2;1.4940;22.2955;0.0000;23.7895;1.5964;0.0000;20.2393;0.0000;0.0000;0.4599;
058;"/PH4";2;2;1.4940;26.4742;0.0000;27.9682;1.2577;12.6425;0.0000;0.0000;0.0000;12.5740;
059;"/PE13";2;2;1.4940;26.6132;0.0000;28.1072;4.2806;0.0000;19.3611;0.0000;0.0000;2.9715;
060;"/PH8";2;2;1.4940;27.4069;0.0000;28.9009;5.4447;0.0000;21.5024;0.0000;0.0000;0.4599;
061;"/PG10";2;2;1.3590;18.1661;0.0000;19.5251;0.0000;0.0000;0.0000;17.1644;0.0000;1.0017;
062;"/PF0";2;2;2.9880;19.7329;0.0000;22.7209;13.5591;0.0000;0.0000;0.0000;0.0000;6.1738;
063;"/PC2_C";2;1;0.6795;72.8648;0.0000;73.5443;0.0000;0.0000;0.0000;72.4239;0.0000;0.4409;
064;"/PF2";2;3;2.7180;19.8238;0.0000;22.5418;0.0000;3.0148;0.0000;14.2797;0.0000;2.5293;
065;"/PF4";2;3;1.3590;26.8825;0.0000;28.2415;0.0000;0.0000;0.0000;21.1066;4.3519;1.4241;
066;"/PF12";2;2;0.2700;18.0744;0.0000;18.3444;0.0000;0.0000;0.0000;0.0000;13.7478;4.3266;
067;"/PH10";2;2;1.4940;22.3565;0.0000;23.8505;1.2805;0.0000;19.6155;0.0000;0.0000;1.4605;
068;"/PE2";2;2;2.7180;14.7065;0.0000;17.4245;0.0000;11.5315;0.0000;0.0000;0.0000;3.1750;
069;"/PB2";2;2;1.3590;24.3258;0.0000;25.6848;0.0000;0.0000;0.0000;10.5814;0.0000;13.7443;
